multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
24	3.741986881274572E-4
25	2.631000986057859E-4
26	1.8965758024828294E-4
27	1.376602362005717E-4
28	9.565889618238539E-5
29	6.744416132517983E-5
30	4.830165349676979E-5

Pmin=? [ (F k=N)&(G pc>0) ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ (F k=N)&(G pc!=-2) ]/Pmin=? [ (F k=N) ]:
N	Result
1	1.0
2	0.9985491091654942
3	0.9866528472611374
4	0.9936608867866433
5	0.9960459712465056
6	0.9964608675721222
7	0.9959626128578136
8	0.9931626137910134
9	0.9916085151895722
10	0.9916292586551746
11	0.9924383459923813
12	0.9908352471720026
13	0.9895225432074936
14	0.9892306401719726
15	0.9892939683015753
16	0.9881002780740639
17	0.9870371769006796
18	0.9866069476990637
19	0.9863155236600214
20	0.985371990466626
21	0.9844609069794683
22	0.9838956797310277
23	0.9834417771996775
24	0.9846597835244286
25	0.983953615802883
26	0.9832731564855052
27	0.9826089324168742
28	0.9819280665748025
29	0.9812384467057835
30	0.9805551552260912

Pmax=? [ pc!=-2 U<=N false ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ pc>0 U k=N ]:
N	Result
1	1.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
