multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
Pmax=? [ (F pc=-1) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	1.6171179083747327
3	2.9493215587288293
4	5.074118577016315
5	7.249013963264897
6	9.197741460664377
7	10.152259322283903
8	10.402820338374509
9	10.515217648724024
10	10.576480229445377
11	10.60692859918535
12	10.622353860357217
13	10.630956816571487
14	10.636216021308156
15	10.639617704389034
16	10.642032977188052
17	10.64385645216452
18	10.645308061792312
19	10.646506193670575
20	10.647520970554151
21	10.648390990979582
22	10.649148825834814
23	10.64981025302121
24	10.650389828381662
25	10.650896861465778
26	10.651345504818629
27	10.6517405891676
28	10.65208593279218
29	10.652393893705202
30	10.652661093609538

Pmax=? [ (F pc=-1)&(G pc!=-2) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.04883663924315904
3	0.06115566515208012
4	0.5427445889731751
5	0.754113330366592
6	0.9138948308841909
7	0.9830990429626583
8	0.9951192910161
9	0.9981186409357996
10	0.9994198701276062
11	0.9998776801292029
12	0.9999679078936693
13	0.999988635699419
14	0.9999957347189355
15	0.9999957347189355
16	0.9999957347189355
17	0.9999958080970004
18	0.9999959041336152
19	0.9999959041336152
20	0.9999959041336152
21	0.9999959041336152
22	0.9999959041336152
23	0.9999959041336152
24	0.9999959041336152
25	0.9999959041336152
26	0.9999959041336152
27	0.9999959041336152
28	0.9999959041336152
29	0.9999959041336152
30	0.9999959041336152

Pmax=? [ (F pc=-1) ]:
N	Result
1	0.0
2	0.43647720152428615
3	0.6633391209878176
4	0.8179958446538322
5	0.8929494143215493
6	0.9399732526000559
7	0.9649302372165744
8	0.9805227582624934
9	0.9886738324182668
10	0.9931986851058903
11	0.9956086358010865
12	0.9969852482189777
13	0.9977759485763246
14	0.998263020473902
15	0.9985822857483388
16	0.9988089713962032
17	0.9989801138056956
18	0.9991163547591215
19	0.9992288055353493
20	0.9993240475119015
21	0.9994057033579302
22	0.9994768300170813
23	0.9995389083257196
24	0.9995933044238018
25	0.9996408920599513
26	0.9996829995225709
27	0.9997200802000182
28	0.9997524924572614
29	0.9997813961567166
30	0.9998064742280004

Pmax=? [ F pc=-2 ]:
N	Result
1	0.4820532228507689
2	0.93999876596086
3	0.96590142943759
4	0.982167035236426
5	0.9856145375511076
6	0.9871660860025595
7	0.9879774641595902
8	0.9884181093012208
9	0.9886553422622746
10	0.9887834480094879
11	0.9888527920990531
12	0.9888903773051512
13	0.9889107588488013
14	0.9889218134633153
15	0.9889278098217913
16	0.9889310625569347
17	0.9889328270401005
18	0.9889337842115886
19	0.9889343034460318
20	0.9889345365195386
21	0.9889347115493639
22	0.9889348064975945
23	0.9889348064975945
24	0.9889348064975945
25	0.9889348064975945
26	0.9889348064975945
27	0.9889348064975945
28	0.9889348064975945
29	0.9889348064975945
30	0.9889348064975945

Pmax=? [ F pc=-2 ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.4820532228507689
2	1.053441144151403
3	1.2148147011197101
4	1.4136785782526453
5	1.6340265044577231
6	1.8999843814449533
7	2.2170104158260533
8	2.5951151606645886
9	3.044769223948695
10	3.5789542016658054
11	4.212661190366976
12	4.96370103681363
13	5.853029756273422
14	6.905344486902914
15	8.14969694812639
16	9.620254477941437
17	11.357167677480254
18	13.407588129164289
19	15.826839407791194
20	18.679838753128553
21	22.042623368495242
22	26.004252582649457
23	30.668868507865284
24	36.15850250933757
25	42.61515165666057
26	50.203544898521436
27	59.1177927538734
28	69.5824976206108
29	81.85960308820012
30	96.25198247636528

Pmax=? [ (F pc=-2)&(G pc!=-1) ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.4820532228507689
2	0.7307719022588394
3	0.8447367547828947
4	0.9060029251864079
5	0.9416995904771918
6	0.9631175496995892
7	0.9763790208607432
8	0.9847379495088275
9	0.9900795884532111
10	0.9935245417342545
11	0.9957610327124446
12	0.9972195731094262
13	0.9981737885856404
14	0.9987994333856286
15	0.9992102707813894
16	0.9994803322165903
17	0.9996579780573406
18	0.9997748841754424
19	0.999851145958907
20	0.9999020650684768
21	0.9999355654657544
22	0.9999576089411608
23	0.9999696344126131
24	0.9999798528996481
25	0.9999868681408712
26	0.9999828444043726
27	0.9999875772495914
28	0.9999909249384415
29	0.999993283036996
30	0.999977444141293

Pmin=? [ F k=N ]:
N	Result
1	1.0
2	1.0
3	0.563522798475714
4	0.33666087901218245
5	0.1820041553461678
6	0.1070505856784508
7	0.060026747399944416
8	0.035069762783425634
9	0.01947724173750684
10	0.011326167581733514
11	0.006801314894110042
12	0.004391364198913635
13	0.003014751781022503
14	0.0022240514236756656
15	0.001736979526097998
16	0.0014177142516612236
17	0.0011910286037969601
18	0.0010198861943043912
19	8.836452408785041E-4
20	7.711512460759976E-4
21	6.759295972459333E-4
22	5.940820600229829E-4
23	5.230429514116073E-4
24	4.6101364350588576E-4
25	4.0664622412320647E-4
26	3.588792043914701E-4
27	3.1684406770748495E-4
28	2.7981247746713007E-4
29	2.471634542650807E-4
30	2.1836186207904967E-4

Pmin=? [ (F k=N)&(G pc>0) ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ (F k=N)&(G pc!=-2) ]/Pmin=? [ (F k=N) ]:
N	Result
1	0.5179467771492311
2	0.06000123403914004
