multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
N	Result
26	[(0.4171479839143908, 0.5194637247976923), (0.4061327580529702, 0.5698562661813258), (0.4172102274902989, 0.0), (0.045012049145272404, 0.954548751849813), (0.045649086973881946, 0.9540367176996163), (0.3348106285769681, 0.6614242598033853)]
27	[(0.4203830125517231, 0.5225759918768311), (0.41046892919654404, 0.5679257651600607), (0.4204390101218699, 0.0), (0.045013116011822535, 0.9546536741597864), (0.045498693586488045, 0.9542632498422378), (0.34609263996776696, 0.6505344042748237)]
28	[(0.4233443275682045, 0.5224909735154335), (0.4143709811878875, 0.566188171651673), (0.04501391690666161, 0.9547332814151281), (0.045317864534539176, 0.9544978880017433), (0.355571489823708, 0.6414420928958993)]
29	[(0.4259587844112176, 0.5252999697811042), (0.41788240305709345, 0.5646242060356399), (0.04501451869601979, 0.9547936820753298), (0.045245786278720584, 0.9546145187075439), (0.3565151156786449, 0.6412269154271504)]
30	[(0.4283114369640527, 0.5278273558499434), (0.4210423252999399, 0.5632165127436867), (0.0450149711981164, 0.9548395104126646), (0.045176636385602736, 0.9547164533905554), (0.3654414525305051, 0.6325432118781344)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.024284674107100925
3	0.07549334734508818
4	0.11703368312535123
5	0.1520199146766598
6	0.1824418725114746
7	0.20948952522842312
8	0.2336801338097355
9	0.25537611893869694
10	0.2748626730757584
11	0.29237702594752435
12	0.308126369839146
13	0.32229236998714655
14	0.3350360430849091
15	0.3465010924245976
16	0.35681627414598616
17	0.36609717515253387
18	0.37444766461097
19	0.38196113015685584
20	0.38872155841503425
21	0.39480449231409015
22	0.4002778854456143
23	0.4052028674101331
24	0.4096344307651534
25	0.413622048226157
26	0.4172102274902989
27	0.4204390101218699
28	0.4233444202039409
29	0.42595886784665715
30	0.4283115121119009

Pmax=? [ (F pc=-1) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.025673575410556482
3	0.08407363731845173
4	0.1364030074165939
5	0.184821757049889
6	0.23128993508944057
7	0.27682637992993836
8	0.3216996479495967
9	0.36601234670324617
10	0.40979863347010986
11	0.45305369543307317
12	0.4957540353779749
13	0.53786078350274
14	0.5764103804945195
15	0.6114168953334399
16	0.6436024231904954
17	0.6734141908733337
18	0.7010835940636294
19	0.7267547555602413
20	0.7505368417492585
21	0.7725260446247425
22	0.7928149198132495
23	0.8114958912447063
24	0.8286620167739092
25	0.8444065724237628
26	0.8588221981868438
27	0.8719999652169864
28	0.8840285268310593
29	0.8949934165688154
30	0.9049765079474259

Pmax=? [ (F pc=-1)&(G pc!=-2) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.025673575410556482
3	0.08407363731845173
4	0.1364030074165939
5	0.184821757049889
6	0.23128993508944057
7	0.27682637992993836
8	0.3216996479495967
9	0.36601234670324617
10	0.40979863347010986
11	0.45305369543307317
12	0.4957540353779749
13	0.53786078350274
14	0.5764103804945195
15	0.6114168953334399
16	0.6436024231904954
17	0.6734141908733337
18	0.7010835940636294
19	0.7267547555602413
20	0.7505368417492585
21	0.7725260446247425
22	0.7928149198132495
23	0.8114958912447063
24	0.8286620167739092
25	0.8444065724237628
26	0.8588221981868438
27	0.8719999652169864
28	0.8840285268310593
29	0.8949934165688154
30	0.9049765079474259

Pmax=? [ (F pc=-1) ]:
N	Result
1	0.0
2	0.024284674107100925
3	0.07549334734508818
4	0.11703368312535123
5	0.1520199146766598
6	0.1824418725114746
7	0.20948952522842312
8	0.2336801338097355
9	0.25537611893869694
10	0.2748626730757584
11	0.29237702594752435
12	0.308126369839146
13	0.32229236998714655
14	0.3350360430849091
15	0.3465010924245976
16	0.35681627414598616
17	0.36609717515253387
18	0.37444766461097
19	0.38196113015685584
20	0.38872155841503425
21	0.39480449231409015
22	0.4002778854456143
23	0.4052028674101331
24	0.4096344307651534
25	0.413622048226157
26	0.4172102274902989
27	0.4204390101218699
28	0.4233444202039409
29	0.42595886784665715
30	0.4283115121119009

Pmax=? [ F pc=-2 ]:
N	Result
1	0.010556927734841846
2	0.3046414909695319
3	0.5493093073732869
4	0.6880139498731843
5	0.7729749825172286
6	0.8265404124821243
7	0.8621930745287316
8	0.8869286494918621
9	0.9045864947617166
10	0.9174201040611258
11	0.9268767132228479
12	0.9338779886580739
13	0.9390855939880136
14	0.9429689509310502
15	0.9458872927105233
16	0.9480905743057149
17	0.9497578105959255
18	0.9510206931809086
19	0.9519778205112119
20	0.9527034925037953
21	0.9532538299790178
22	0.9536712722810752
23	0.9539879460122179
24	0.9542281918830903
25	0.9544104625571064
26	0.954548751849813
27	0.9546536741597864
28	0.9547332814151281
29	0.9547936820753298
30	0.9548395104126646

Pmax=? [ F pc=-2 ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.010556927734841846
2	0.30564206800567434
3	0.5531832838025539
4	0.6955950157772105
5	0.7847257208573568
6	0.8426937042911604
7	0.8828835379663726
8	0.912229104589298
9	0.9344066661073668
10	0.9514084519893489
11	0.9634648755519912
12	0.9721934261141908
13	0.9786343996702682
14	0.983455163444144
15	0.9871225565842386
16	0.9899466476925932
17	0.9921411614463255
18	0.9938592072622542
19	0.9952135749408666
20	0.9962885928336086
21	0.9971477415981626
22	0.9978102345671054
23	0.9983198575586468
24	0.9987128481620348
25	0.9990169932688171
26	0.9992511900249877
27	0.9994304950884865
28	0.9995672373005886
29	0.9996713033013884
30	0.999750417674963

Pmax=? [ (F pc=-2)&(G pc!=-1) ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.010556927734841846
2	0.30564206800567434
3	0.5531832838025539
4	0.6955950157772105
5	0.7847257208573568
6	0.8426937042911604
7	0.8828835379663726
8	0.912229104589298
9	0.9344066661073668
10	0.9514084519893489
11	0.9634648755519912
12	0.9721934261141908
13	0.9786343996702682
14	0.983455163444144
15	0.9871225565842386
16	0.9899466476925932
17	0.9921411614463255
18	0.9938592072622542
19	0.9952135749408666
20	0.9962885928336086
21	0.9971477415981626
22	0.9978102345671054
23	0.9983198575586468
24	0.9987128481620348
25	0.9990169932688171
26	0.9992511900249877
27	0.9994304950884865
28	0.9995672373005886
29	0.9996713033013884
30	0.999750417674963

Pmin=? [ F k=N ]:
N	Result
1	1.0
2	0.9894430722651583
3	0.6801639991680113
4	0.4223189551988103
5	0.2767621978027901
6	0.18750662880841412
7	0.13101332402243523
8	0.09360919984673599
9	0.06779330643434056
10	0.049504083077475086
11	0.03626121988728412
12	0.02658022714886226
13	0.01948507889436325
14	0.014284482255693409
15	0.010473643614793193
16	0.007681584212680143
17	0.005635709119127566
18	0.004136162807594604
19	0.0030366492057668924
20	0.0022301434477382635
21	0.0016383434531864875
22	0.00120393904425721
23	8.84963910881499E-4
24	6.50672949313726E-4
25	4.7853202348602773E-4
26	3.5201847744409614E-4
27	2.5901290995415443E-4
28	1.9062256356994214E-4
29	1.4032005410010814E-4
30	1.0331264481001546E-4

Pmin=? [ (F k=N)&(G pc>0) ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ (F k=N)&(G pc!=-2) ]/Pmin=? [ (F k=N) ]:
N	Result
1	0.9894430722651582
2	0.7027776822354878
3	0.6467003525600468
4	0.68535122957193
5	0.7097528128282647
6	0.7313714978020381
7	0.7468117688455818
8	0.7560127031888473
9	0.7617688590814522
10	0.7639806522083556
11	0.7645858197938915
12	0.764767068364697
13	0.7649552588500601
14	0.7652309879725269
15	0.765582112633102
16	0.7659675482439532
17	0.7663569276368678
18	0.7667346195971038
19	0.7670955244026164
20	0.7674392937841329
21	0.7677671644889427
22	0.768080433962904
23	0.7683800638905588
24	0.768666704250602
25	0.7689408306778655
26	0.7692028493473374
27	0.7694531525502838
28	0.7696921374216401
29	0.7699202071332937
30	0.7701377663422352

Pmax=? [ pc!=-2 U<=N false ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ pc>0 U k=N ]:
N	Result
1	1.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
